name,lat,lon,elevation_m
K0J4,31.04,-86.31,91.0
K79J,31.31,-86.39,98.0
KAAO,37.75,-97.22,433.0
KABE,40.65,-75.45,117.0
KABI,32.41,-99.68,545.0
KABQ,35.04,-106.62,1620.0
KABR,45.45,-98.42,395.0
KACK,41.25,-70.06,15.0
KACT,31.62,-97.23,155.0
KACY,39.46,-74.58,20.0
KADG,41.87,-84.08,241.0
KAEX,31.33,-92.56,27.0
KAFN,42.81,-72.0,317.0
KAFW,32.97,-97.32,205.0
KAGC,40.35,-79.92,382.0
KAGS,33.37,-81.96,45.0
KAHN,33.95,-83.33,247.0
KAIA,42.06,-102.8,1196.0
KAKH,35.2,-81.16,244.0
KAKO,40.18,-103.22,1431.0
KAKQ,36.98,-77.01,64.0
KAKR,41.04,-81.47,325.0
KALB,42.76,-73.8,89.0
KALK,31.61,-110.43,1453.0
KALO,42.55,-92.4,268.0
KALS,37.44,-105.86,2299.0
KALW,46.09,-118.29,367.0
KAMA,35.22,-101.71,1099.0
KAMW,41.99,-93.62,280.0
KANB,33.59,-85.85,182.0
KAND,34.49,-82.71,238.0
KANJ,46.48,-84.37,218.0
KAOH,40.71,-84.03,296.0
KAOO,40.3,-78.32,458.0
KAPA,39.57,-104.85,1793.0
KAPN,45.07,-83.56,210.0
KAQV,31.36,-93.18,114.0
KAQW,42.7,-73.17,476.0
KARA,30.03,-91.88,7.0
KARB,42.22,-83.74,251.0
KARR,41.77,-88.48,215.0
KART,43.99,-76.03,99.0
KAST,46.16,-123.88,7.0
KASX,46.55,-90.92,249.0
KATL,33.63,-84.44,315.0
KATT,30.32,-97.76,203.0
KATY,44.91,-97.15,526.0
KAUG,44.32,-69.8,107.0
KAUW,44.93,-89.63,365.0
KAVL,35.43,-82.54,661.0
KAVP,41.33,-75.72,289.0
KAWM,35.14,-90.23,65.0
KAXN,45.87,-95.39,433.0
KAZO,42.23,-85.55,272.0
KBAF,42.16,-72.72,83.0
KBAN,38.36,-119.52,2067.0
KBAZ,29.71,-98.04,195.0
KBBW,41.44,-99.64,769.0
KBCE,37.71,-112.15,2312.0
KBCR,30.84,-85.6,26.0
KBDE,48.73,-94.61,329.0
KBDL,41.94,-72.68,55.0
KBDR,41.16,-73.13,5.0
KBED,42.47,-71.29,41.0
KBEH,42.13,-86.43,191.0
KBFD,41.8,-78.64,653.0
KBFF,41.87,-103.6,1203.0
KBFI,47.53,-122.3,5.0
KBGD,35.7,-101.39,931.0
KBGM,42.21,-75.98,497.0
KBGR,44.81,-68.83,59.0
KBHK,46.35,-104.26,906.0
KBIL,45.81,-108.54,1088.0
KBIS,46.77,-100.75,506.0
KBIV,42.75,-86.1,208.0
KBJJ,40.87,-81.89,343.0
KBKB,31.1,-92.98,103.0
KBKE,44.84,-117.81,1027.0
KBKL,41.52,-81.68,178.0
KBKW,37.79,-81.12,766.0
KBLF,37.3,-81.21,871.0
KBLI,48.79,-122.54,48.0
KBLU,39.28,-120.71,1611.0
KBMG,39.15,-86.62,257.0
KBML,44.58,-71.18,353.0
KBMQ,30.74,-98.24,389.0
KBNA,36.12,-86.69,180.0
KBNO,43.6,-118.96,1271.0
KBOI,43.57,-116.24,874.0
KBOS,42.36,-71.01,9.0
KBPK,36.37,-92.47,283.0
KBRD,46.4,-94.13,372.0
KBRL,40.77,-91.13,213.0
KBTL,42.31,-85.25,290.0
KBTM,45.95,-112.5,1690.0
KBTR,30.54,-91.15,21.0
KBTV,44.47,-73.15,104.0
KBUF,42.94,-78.74,215.0
KBUY,36.05,-79.47,188.0
KBVO,36.76,-96.01,218.0
KBVY,42.58,-70.92,33.0
KBWG,36.96,-86.42,167.0
KBWI,39.17,-76.68,42.0
KBYG,44.38,-106.72,1514.0
KBYI,42.54,-113.77,1265.0
KBZN,45.79,-111.16,1364.0
KCAE,33.94,-81.12,69.0
KCAK,40.92,-81.44,374.0
KCAO,36.45,-103.15,1515.0
KCAR,46.87,-68.02,190.0
KCDC,37.7,-113.1,1714.0
KCDR,42.84,-103.1,999.0
KCDS,34.43,-100.29,595.0
KCDW,40.88,-74.28,53.0
KCEU,34.67,-82.89,272.0
KCFV,37.09,-95.57,226.0
KCGI,37.23,-89.57,102.0
KCHA,35.04,-85.2,210.0
KCHO,38.14,-78.45,195.0
KCHS,32.9,-80.04,10.0
KCID,41.88,-91.72,265.0
KCKB,39.3,-80.23,367.0
KCKV,36.62,-87.42,168.0
KCLE,41.4,-81.85,233.0
KCLL,30.59,-96.36,98.0
KCLM,48.12,-123.51,80.0
KCLT,35.22,-80.95,228.0
KCMH,39.99,-82.88,247.0
KCMI,40.03,-88.28,227.0
KCMX,47.17,-88.49,326.0
KCNK,39.55,-97.65,452.0
KCNM,32.34,-104.26,1004.0
KCNU,37.67,-95.48,305.0
KCNY,38.76,-109.75,1388.0
KCON,43.2,-71.5,105.0
KCOS,38.81,-104.7,1881.0
KCOU,38.82,-92.22,271.0
KCPR,42.91,-106.46,1612.0
KCPS,38.57,-90.16,126.0
KCQC,35.0,-105.66,2160.0
KCQX,41.69,-69.99,19.0
KCRE,33.81,-78.72,10.0
KCRP,27.77,-97.51,13.0
KCRS,32.03,-96.4,137.0
KCRW,38.38,-81.59,299.0
KCSG,32.52,-84.94,121.0
KCSM,35.34,-99.2,586.0
KCSV,35.95,-85.08,573.0
KCTB,48.61,-112.38,1175.0
KCUB,33.97,-80.99,59.0
KCUT,43.73,-103.61,1687.0
KCVG,39.04,-84.67,267.0
KCXO,30.35,-95.41,75.0
KCXY,40.22,-76.85,106.0
KCYS,41.16,-104.81,1871.0
KDAL,32.85,-96.85,148.0
KDAN,36.57,-79.34,174.0
KDAW,43.28,-70.92,104.0
KDAY,39.91,-84.22,305.0
KDBQ,42.4,-90.71,329.0
KDCA,38.85,-77.03,20.0
KDCU,34.65,-86.95,177.0
KDDC,37.76,-99.97,790.0
KDDH,42.89,-73.25,240.0
KDEC,39.83,-88.87,207.0
KDEN,39.83,-104.66,1656.0
KDEQ,34.05,-94.4,108.0
KDET,42.41,-83.01,190.0
KDEW,47.97,-117.42,672.0
KDFI,41.34,-84.43,219.0
KDFW,32.9,-97.04,182.0
KDGW,42.8,-105.39,1502.0
KDHT,36.02,-102.55,1216.0
KDIK,46.8,-102.8,789.0
KDKK,42.49,-79.27,203.0
KDLH,46.84,-92.19,435.0
KDLN,45.26,-112.55,1597.0
KDLS,45.62,-121.17,74.0
KDMO,38.71,-93.18,274.0
KDNL,33.47,-82.04,125.0
